activity_name,type,distance,moving_time,elapsed_time,total_elevation_gain,average_speed,max_speed,average_heartrate_bpm,max_heartrate_bpm,achievement_count,kudos_count,comment_count,athlete_count,commute,gear_id,suffer_score,average_temp,start_data,distance_km
Evening Ride,Ride,2223.9,07:57,12:34,22,4.662,7.686,109.3,229,0,0,0,1,TRUE,b15178927,1,17,2025-04-15,2.2239
The Pipe under Moor Park…,Run,16382.4,90:05,93:47,165,3.031,6.517,125.7,166,1,49,0,2,FALSE,g15257806,24,19,2025-04-15,16.3824
Morning Ride,Ride,2174.4,08:06,14:39,22,4.474,7.76,88.9,146,0,0,0,1,TRUE,b15178927,1,20,2025-04-15,2.1744
Evening Run,Run,15148.8,87:45,89:38,102,2.877,5.1,116.8,145,5,50,0,2,FALSE,g15257806,17,15,2025-04-14,15.1488
Morning Ride,Ride,4302,13:53,642:43,51,5.164,8.44,98.2,148,0,0,0,1,TRUE,b15178927,2,23,2025-04-14,4.302
Lancaster 3 Bridges 10k (34:07),Run,9855.9,34:07,34:07,42,4.815,6,161.4,177,5,93,23,3,FALSE,g19778329,68,15,2025-04-13,9.8559
Morning Run,Run,2213.7,09:58,14:42,9,3.702,5.28,141.1,163,10,0,0,2,FALSE,g19778329,8,19,2025-04-13,2.2137
Recce for the recce,Ride,41838.1,116:14,177:51,191,5.999,13.133,110.9,159,5,47,0,2,FALSE,b8218319,24,20,2025-04-11,41.8381
Ride,Ride,5909.9,19:50,1241:33,64,4.966,9.571,108.6,150,1,5,1,1,TRUE,b15178927,4,23,2025-04-10,5.9098999999999995
Evening Run,Run,10549.3,67:44,114:05,91,2.596,5.9,122.7,147,0,32,0,11,FALSE,g15257806,13,20,2025-04-10,10.549299999999999
LCC Lunch Run,Run,7061.5,34:58,35:01,49,3.366,5.833,137.3,155,4,32,0,2,FALSE,g15257806,14,21,2025-04-10,7.0615
Morning Ride,Ride,2110.6,07:10,09:00,15,4.908,7.917,115.1,133,0,0,0,1,TRUE,b15178927,1,19,2025-04-10,2.1106
Beaut,Run,20655,101:09,122:15,111,3.403,4.92,137.1,158,18,49,3,1,FALSE,g15257806,36,17,2025-04-09,20.655
Morning Ride,Ride,4398,13:43,588:10,51,5.344,10.017,111.2,142,0,0,0,1,TRUE,b15178927,2,24,2025-04-09,4.398
Evening Ride,Ride,2401.2,12:05,14:03,21,3.312,8.62,109.5,148,0,0,0,1,TRUE,b15178927,2,26,2025-04-08,2.4012
LCC Run Club intervals,Run,13360.4,57:18,68:30,57,3.886,7.083,151.4,188,0,40,0,2,FALSE,g21525952,69,21,2025-04-08,13.3604
Morning Ride,Ride,2133.8,07:24,09:59,20,4.806,7.486,107,123,0,0,0,1,TRUE,b15178927,1,21,2025-04-08,2.1338000000000004
Morning Ride,Ride,7247,33:03,665:34,81,3.655,9.76,100,143,2,2,0,1,TRUE,b15178927,5,24,2025-04-07,7.247
Evening Run,Run,10663.4,52:31,54:14,68,3.384,5.22,131,148,2,57,0,1,FALSE,g15257806,14,18,2025-04-06,10.6634
Rivington Pike!,Hike,10106.5,107:18,136:41,319,1.57,2.5,90.6,134,1,47,5,1,FALSE,g9133328,13,21,2025-04-06,10.1065
Night Run,Run,1995.8,10:50,17:40,23,3.07,5.783,79.3,108,3,22,0,1,FALSE,g15257806,1,21,2025-04-05,1.9958
